CustomerID,Gender,Age,Annual Income (k$),Spending Score (1-100)
1,Male,41,29.6,29
2,Female,69,50.3,27
3,Female,28,85.3,17
4,Female,66,45.8,29
5,Male,25,68.9,40
6,Male,53,75.5,38
7,Male,55,41.5,40
8,Female,57,58.8,43
9,Female,37,15.0,15
10,Female,52,39.5,48
11,Male,65,54.9,50
12,Female,42,35.0,63
13,Female,52,92.6,8
14,Male,42,31.4,92
15,Male,46,51.2,48
16,Male,35,62.6,20
17,Male,63,88.8,71
18,Female,35,31.3,66
19,Male,19,83.3,33
20,Male,52,60.2,25
21,Female,33,40.4,69
22,Male,58,69.2,34
23,Male,53,64.0,21
24,Male,50,48.0,40
25,Male,21,61.4,46
26,Female,50,52.3,31
27,Male,31,62.3,47
28,Female,38,73.2,46
29,Female,65,91.7,20
30,Male,37,35.2,49
31,Female,25,102.7,22
32,Male,24,21.0,31
33,Male,20,57.0,72
34,Female,34,71.8,89
35,Female,50,65.6,46
36,Female,65,47.5,36
37,Male,29,55.8,40
38,Male,68,50.1,50
39,Female,39,48.2,50
40,Male,39,77.0,24
41,Male,63,67.1,26
42,Male,47,46.1,48
43,Male,55,78.0,19
44,Female,55,66.1,19
45,Male,62,76.3,24
46,Female,68,72.6,19
47,Male,25,43.4,17
48,Female,44,48.8,80
49,Female,44,74.9,46
50,Male,51,72.2,68
51,Female,38,59.6,60
52,Female,47,62.3,63
53,Female,50,85.6,37
54,Female,45,48.2,25
55,Female,64,70.9,45
56,Female,50,56.0,45
57,Male,22,55.6,33
58,Male,65,82.0,17
59,Male,36,76.5,13
60,Male,21,76.3,71
61,Male,52,86.1,61
62,Male,66,60.4,65
63,Female,34,73.6,58
64,Male,61,53.8,70
65,Male,45,66.5,43
66,Female,47,57.4,29
67,Male,46,61.9,12
68,Female,63,71.9,32
69,Male,70,43.6,22
70,Female,23,101.8,21
71,Female,52,39.9,32
72,Male,58,35.7,29
73,Male,54,83.2,21
74,Female,41,75.8,89
75,Female,46,72.5,14
76,Female,66,72.6,57
77,Female,63,59.8,57
78,Male,70,42.1,77
79,Male,48,61.5,28
80,Male,52,46.5,34
81,Female,50,79.5,87
82,Female,69,57.1,78
83,Male,38,43.5,75
84,Male,49,53.6,35
85,Male,40,68.3,17
86,Male,50,48.7,33
87,Female,20,43.6,67
88,Female,35,64.9,57
89,Female,42,64.9,34
90,Male,59,49.9,40
91,Male,48,50.6,63
92,Female,20,64.6,40
93,Female,57,31.0,27
94,Female,63,31.9,48
95,Female,41,45.6,43
96,Male,67,55.7,28
97,Female,49,66.2,24
98,Male,64,89.5,63
99,Male,39,77.2,26
100,Male,40,56.8,51
101,Male,19,59.6,21
102,Female,44,39.9,49
103,Male,59,59.6,53
104,Female,19,54.2,7
105,Female,43,66.5,11
106,Male,34,43.5,32
107,Male,57,70.4,26
108,Female,50,90.7,78
109,Male,26,57.8,25
110,Male,60,68.0,82
111,Male,65,73.8,19
112,Male,56,52.0,40
113,Female,46,64.5,81
114,Female,59,60.3,38
115,Female,43,62.0,54
116,Female,52,44.5,29
117,Female,67,60.5,35
118,Male,42,70.0,83
119,Female,41,89.0,82
120,Female,30,79.2,87
121,Female,24,103.1,40
122,Female,53,44.7,62
123,Male,62,77.4,65
124,Male,37,63.7,12
125,Male,18,103.8,18
126,Male,25,43.8,50
127,Female,63,43.2,56
128,Female,33,48.0,74
129,Male,31,17.5,26
130,Female,29,49.5,73
131,Male,68,44.8,18
132,Male,40,63.0,10
133,Male,32,66.8,15
134,Male,45,97.5,69
135,Female,51,79.0,38
136,Male,19,48.5,62
137,Female,49,42.0,38
138,Female,40,69.8,100
139,Male,39,33.6,55
140,Female,68,96.6,81
141,Female,42,83.6,39
142,Male,39,50.6,58
143,Male,39,25.7,43
144,Male,66,87.1,26
145,Male,69,57.7,80
146,Male,59,84.8,48
147,Female,23,28.1,36
148,Female,32,48.0,74
149,Male,60,60.1,49
150,Male,54,60.9,71
151,Female,50,51.0,74
152,Male,25,72.5,71
153,Male,70,38.6,32
154,Male,61,57.2,75
155,Female,61,62.4,57
156,Male,22,70.3,34
157,Female,56,74.2,31
158,Female,21,37.5,67
159,Male,23,29.3,41
160,Female,62,85.6,47
161,Male,49,66.6,79
162,Female,69,45.0,84
163,Female,47,91.0,26
164,Female,64,62.3,11
165,Male,52,83.6,28
166,Female,57,61.4,57
167,Male,69,101.2,30
168,Male,33,95.1,62
169,Male,30,55.0,86
170,Female,67,79.4,83
171,Female,59,72.9,24
172,Male,47,87.4,66
173,Female,36,40.7,29
174,Male,34,73.7,81
175,Female,36,81.2,27
176,Male,45,24.8,34
177,Female,43,36.3,71
178,Male,54,19.2,35
179,Female,43,54.6,24
180,Male,70,74.4,58
181,Male,40,90.0,50
182,Male,26,61.5,50
183,Female,29,92.6,61
184,Female,70,32.4,43
185,Male,18,25.9,25
186,Female,18,58.9,20
187,Female,64,67.7,20
188,Female,51,59.3,77
189,Female,49,18.7,52
190,Male,65,58.2,44
191,Male,42,33.9,65
192,Female,57,73.4,72
193,Female,62,67.3,23
194,Female,70,41.2,44
195,Male,18,49.7,67
196,Male,33,38.8,52
197,Female,56,58.7,35
198,Female,22,79.1,68
199,Female,39,40.3,82
200,Female,46,70.1,60
